"D150_4_POOLED","PCTFLOAN","DEBT_MDN","GRAD_DEBT_MDN","WDRAW_DEBT_MDN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","DEP_DEBT_MDN","IND_DEBT_MDN","PELL_DEBT_MDN","NOPELL_DEBT_MDN","FEMALE_DEBT_MDN","MALE_DEBT_MDN","FIRSTGEN_DEBT_MDN","NOTFIRSTGEN_DEBT_MDN","DEBT_N","GRAD_DEBT_N","WDRAW_DEBT_N","LO_INC_DEBT_N","MD_INC_DEBT_N","HI_INC_DEBT_N","DEP_DEBT_N","IND_DEBT_N","PELL_DEBT_N","NOPELL_DEBT_N","FEMALE_DEBT_N","MALE_DEBT_N","FIRSTGEN_DEBT_N","NOTFIRSTGEN_DEBT_N","GRAD_DEBT_MDN10YR","CUML_DEBT_N","CUML_DEBT_P90","CUML_DEBT_P75","CUML_DEBT_P25","CUML_DEBT_P10","LOAN_EVER","DEBT_MDN_SUPP","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP"
"83","0.8466","9500","24200","6646","9500","13385.5","12950","8789","9500","9500","9500","9500","7987","9500","9500","18456","4299","14235","14707","2902","847","4521","13935","16364","2092","14822","3634","10269","8187","248.362431878971","18456","31250","21421","4750","2000","0.876810697","9500","24200","248.362431878971"
"NULL","0.8004","11108","18331","6334","10431","13235","12000","9500","11834.5","11367","9500","11768","9500","11250","11000","24975","9671","15671","20936","3135","904","5813","19162","22491","2484","19819","5156","13268","11707","188.129410693116","24975","27503","19000","5167","2922","0.921777118","11108","18331","188.129410693116"
"NULL","0.7309","7917","9660","3558.5","7633.5","7917","7917","8247.5","7898","7861.5","7917","7917","8958","7893","7917","920","674","252","650","187","83","386","534","778","142","883","37","457","463","99.1397145434239","920","13687","10834","4974.5","3413.5","0.853266332","7917","9660","99.1397145434239"
"NULL","0.672","24250","27000","6500","21500","26186","24500","26780","18849","23960","24370","25000","22903.5","24250","24250","1157","753","405","202","326","629","879","278","443","714","781","376","423","734","277.098581021992","1157","34000","28000","9500","4750","0.971871969","24250","27000","277.098581021992"
"NULL","1","10500","16500","9167","9500","13875","19528","9500","11875","10375","14000","10375","12985.5","10967","10500","833","440","397","595","191","47","142","691","708","125","639","194","437","396","169.338021735662","833","27166","19527","7667","3443","0.938730853","10500","16500","169.338021735662"
"NULL","0.1875","4948","7065","4750","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","6650","4750","71","37","35","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","16","55","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","36","35","72.507462034088","71","PrivacySuppressed","9500","3483","PrivacySuppressed","0.797619048","4948","7065","72.507462034088"
"NULL","0.6618","9617","10194","4975","9500","10193.5","10194","10127.5","9500","9500","10159","PrivacySuppressed","PrivacySuppressed","9508","9639.5","299","190","109","168","62","69","150","149","215","84","PrivacySuppressed","PrivacySuppressed","117","182","104.620108701414","299","17083","12658","5574","2751","0.896024465","9617","10194","104.620108701414"
"NULL","0.9204","17377","26000","9500","14250","19334","19500","16791.5","19000","17000.5","17534","19000","14250","14250","19000","2532","1069","1464","939","669","924","1896","636","1498","1034","1515","1017","958","1574","266.83567061377","2532","33750","27000","8250","4750","0.962082912","17377","26000","266.83567061377"
"22","0.7853","22396","26563","12500","21063","23959","22396","15000","24480","23915","20030.5","22468.5","22396","23958","21250","1328","575","778","576","439","313","359","969","900","428","900","428","584","744","272.613689173599","1328","42271","31250","9500","3750","0.897129187","22396","26563","272.613689173599"
"NULL","0.7275","18870.5","20000","7385","18540","20000","19750","17826","20000","18572.5","20648.5","18514","20000","18441","20000","1530","1127","414","1005","371","154","765","765","1262","268","1171","359","871","659","205.258208164438","1530","31253.5","25000","12000","5251.5","0.9023795","18870.5","20000","205.258208164438"
